_id,category,id,title,description,duration,fullLength,publishedDate,numberOfPlays,isCatchUp,program
103855,science,103855,Histoires des Savoirs: La science et le quotidien,,192937,true,2009-10-08T16:05:00Z,85,false,Le court du jour
125058,science,125058,"NE/""Science et Cité"": le Muséum d'histoire naturelle propose un voyage dans notre conscience","Le Muséum organise une visite sous divers points de vue des Caves du Palais de Neuchâtel, fermées depuis les années '70. De la vision de l'architecte à celle de l'historien en passant par l'ethnologue et le zoologiste, cette visite nous fait réfléchir au fonctionnement de la conscience humaine",141250,false,2005-05-19T17:30:00Z,1,false,19h30
1470361,science,1470361,La revue Science décrit une créature baptisée Ardi qui serait à la limite de notre espèce,,107917,false,2009-10-02T17:30:00Z,627,false,19h30
1478791,science,1478791,Autriche: l'homme bionique n'est plus entièrement de la science-fiction,"Christian, un jeune Autrichien de dix-huit ans, avait perdu les deux bras après s'être grièvement brûlé au contact d'une ligne à haute tension. Grâce à des prothèses répondant directement à son influx nerveux, il est de nouveau capable d'exécuter des gestes quotidiens.",95667,false,2007-11-14T18:30:00Z,831,false,19h30
1481804,science,1481804,Nuit de la science à Genève: des centaines de scientifiques rivalisent d'imagination pour présenter leur vision du temps,,99417,false,2008-07-05T17:30:00Z,345,false,19h30
1571218,science,1571218,Genève: spectacles et autodérision ce weekend à l'occasion de la nuit de la science,"Pour sa 6e édition, la Nuit de la science s'étale sur tout le weekend à Genève. De jour comme de nuit, les visiteurs peuvent découvrir quantités d'animations et de visites guidées.",124167,false,2006-07-08T17:30:00Z,19,false,19h30
1584121,science,1584121,L'EPFL publie un nouveau magazine consacré à la science et à l'innovation,"Baptisée «Reflex», cette publication de 80 pages sera vendue en kiosque. Elle est réalisée par l'agence de presse indépendante Largeur.com. Une édition en anglais est également prévue.",86000,false,2006-12-12T18:30:00Z,117,false,19h30
1729152,science,1729152,La science et le quotidien: Nos amies les bactéries,,201950,true,2010-03-30T16:05:00Z,0,false,
1758401,science,1758401,La science et le quotidien: Les nanos sont parmi nous,,209150,true,2010-03-29T16:05:00Z,62,false,
1762881,geographie,1762881,"La recherche, une passion - Bernhard Fuhrer: La géographie économique",,189653,true,2010-04-01T16:00:00Z,92,false,Le court du jour
2021410,science,2021410,La science est aussi au service du sport et des athlètes,,155334,false,2010-05-24T20:50:00Z,1376,false,Sport dernière
2259448,science,2259448,Genève: la Nuit de la science a eu lieu ce week-end,,84600,false,2010-07-11T17:30:00Z,1619,false,Le journal du Dimanche
2426,science,2426,La genèse face à la science,,3662008,true,2006-05-21T08:00:00Z,219,false,Culte et messe
2536744,science,2536744,"La foire de Fribourg, qui ouvre ses portes vendredi, accueille la première convention de science-fiction et fantastique de Suisse","A quelques heures de l'ouverture, les exposants apportent la touche finale à leur stand. Près de 100'000 visiteurs sont attendus.",113720,false,2010-10-01T10:45:00Z,751,false,12h45
2553313,science,2553313,"D'abord utilisée pour des films de science-fiction, la réalité augmentée a fait son entrée au Musée d'archéologie de Bienne",,143680,false,2010-10-05T10:45:00Z,367,false,12h45
2660106,science,2660106,Science Technologie: Qui nous brouille l'écoute ?,,851400,false,2010-11-05T15:41:49Z,298,false,Découverte
3000831,science,3000831,TSRdécouverte: comment inciter les enfants à se plonger dans les mystères de la science?,,157320,false,2011-03-07T11:45:00Z,1559,false,12h45
3151191,geographie,3151191,Un projet pilote visant à créer un chemin pédestre en pleine nature à la place des cours de géographie est mené dans le Jura bernois,L'objectif est de préparer les élèves de 9e année à entrer sur le marché du travail avec un projet concret.,140280,false,2011-05-18T16:55:00Z,428,false,Couleurs locales
3153160,geographie,3153160,Accidents d’avions: y a-t-il une géographie du risque?,,938600,true,2011-05-29T10:15:00Z,5241,false,Geopolitis
3177734,science,3177734,"4. La chimie, derrière toute la science?",,60320,false,2011-05-31T08:33:46Z,52,false,Découverte
3186566,science,3186566,La science à l'épreuve des croyances,"A l'occasion de l'exposition «Sacrée science» au Museum de Neuchâtel, enquête sur les croyances des scientifiques. Avec Giorgio Margaritondo, professeur et chercheur en physique, EPFL, et Roland Benz, théologien et physicien.",753160,false,2011-06-04T11:10:00Z,1150,false,Faut pas croire
3186570,science,3186570,La science à l'épreuve des croyances,"A l'occasion de l'exposition «Sacrée science» au Museum de Neuchâtel, enquête sur les croyances des scientifiques. Avec Giorgio Margaritondo, professeur et chercheur en physique, EPFL, et Roland Benz, théologien et physicien. Les polyphonies corses font partie des plus célèbres chants traditionnels. Basé à Calvi, au nord-ouest de l'île, le groupe A Filetta chante avec passion depuis plus de 30 ans. Un dessinateur illustre une expression populaire tirée de la Bible.",1341880,true,2011-06-04T11:10:00Z,764,false,Faut pas croire
3201358,science,3201358,Que sera demain? - Centrafrique : La science des Pygmées,"Les Pygmées possèdent une parfaite connaissance de leur forêt. Depuis toujours, ils s'y procurent tout ce dont ils ont besoin et la vénèrent.",198840,true,2011-06-10T16:10:00Z,362,false,Le court du jour
352,science,352,P.Couchepin interpellé par D.Duboule sur la science,,412667,false,2009-06-18T21:00:00Z,356,false,Tard pour Bar
3529569,geographie,3529569,"Le jurassien Antoine Bailly vient de recevoir le Prix Vautrin Lud, l'équivalent du Prix Nobel de géographie",Cela faisait dix ans qu'un Suisse n'avait plus obtenu une telle consécration.,124040,false,2011-10-21T17:30:00Z,844,false,19h30
3725345,science,3725345,Des souris et un homme,Le biologiste et généticien explique les gènes de Hox.,720000,false,2008-12-07T19:00:00Z,69,false,Science suisse
3859906,science,3859906,Geopolitis se penche sur l'évolution de la science météorologique et sur son rôle dans l'anticipation des problèmes que pourrait bientôt rencontrer notre planète,De nombreuses questions seront soulevées la semaine prochaine à Genève où se tiendra le neuvième sommet mondial de la météo et du climat.,237160,false,2012-03-16T11:45:00Z,468,false,12h45
3884623,science,3884623,D'autres limites à la science?,,64240,false,2012-03-27T16:05:27Z,64,false,Découverte
3884629,science,3884629,La science a-t-elle des limites?,,39960,false,2012-03-27T16:05:30Z,134,false,Découverte
3884631,science,3884631,Quelles sont les limites de la science?,,45160,false,2012-03-27T16:05:31Z,76,false,Découverte
3983807,science,3983807,"Polémique autour du candidat proposé par Johann Schneider-Ammann pour le poste de Secrétaire d'Etat à la science et à la recherche: entretien avec Mathias Reynard, conseiller national (PS/VS)","Le chef du Département fédéral de l'économie suggérait pour ce poste Roman Boutellier, professeur à l'EFPZ et également président du conseil d'administration du groupe Ammann, l'entreprise familial de Johann Schneider-Ammann. Cette proposition a été rejetée par le Conseil fédéral.",145320,false,2012-05-10T10:45:00Z,769,false,12h45
3984764,science,3984764,Johann Schneider-Ammann affirme qu'il a proposé le président de son entreprise familiale pour le poste de Secrétaire d'Etat à la science et à la recherche uniquement pour sa compétence,"Selon le conseiller fédéral, il n'y aurait donc pas de copinage. Le Conseil fédéral a refusé le candidat proposé.",108640,false,2012-05-10T17:30:00Z,449,false,19h30
4047529,geographie,4047529,"Francisco Klauser, prof. assistant de géographie, Unine",,615520,true,2012-06-06T13:05:08Z,83,false,Découverte
4124419,science,4124419,La 9e Nuit de la science se tient ce week-end à Genève,Cette manifestation a pour objectif d'expliquer avec des mots simples et de façon ludique des phénomènes scientifiques complexes.,121560,false,2012-07-07T17:30:00Z,1327,false,19h30
4262012,science,4262012,Finale masculine. Andy Murray (GBR) - Novak Djokovic (SRB). Encore un échange spectaculaire avec deux maîtres de la science défensive (4e manche),Tennis - US Open,42800,false,2012-09-11T00:12:00Z,976,false,Tennis
4287316,science,4287316,La science ADN permet de résoudre l'affaire Brigitte Didier,"Le 5 janvier 1991, la jeune fille est retrouvée violée et assassinée. Un crime resté mystérieux durant 10 ans. Grâce aux progrès de la science ADN, les experts identifient enfin le coupable.",126120,false,2012-09-19T18:15:00Z,1126,false,Zone d'ombre
439889,science,439889,Dernières nouvelles de la science,,132732,false,2005-09-14T18:20:00Z,42,false,Territoires 21
4406724,science,4406724,JU: le photographe jurassien Jacques Bélat présente une exposition sur les arbres au musée de science naturelle de Porrentruy,"Bien qu'ils passent souvent inaperçus, certains arbres ont une beauté toute particulière.",104880,false,2012-11-05T17:55:00Z,351,false,Couleurs locales
442252,science,442252,Les nouvelles neuves du monde de la science,,163000,false,2005-10-12T18:20:00Z,22,false,Territoires 21
444154,science,444154,La science horlogère de l'entreprise Corum à La Chaux-de-Fonds,"Lancée en début d'année, la montre Golden Bridge a déjà trouvé plus de 300 acquéreurs. Son esthétique a été primée par le public cette année. Mais l'horloger ne pourra pas en produire plus de 1000 par année, tant l'assemblage de la montre est complexe.",95000,false,2005-11-02T22:00:00Z,23,false,Journal de la nuit
444651,science,444651,Les nouvelles neuves du monde de la science,,125600,false,2005-11-09T19:20:00Z,37,false,Territoires 21
446721,science,446721,Science & Technologie - ITER: Le soleil en bouteille,,1259750,false,2005-12-07T19:20:00Z,1257,false,Territoires 21
446723,science,446723,Les nouvelles neuves de la science,,179666,false,2005-12-07T19:20:00Z,108,false,Territoires 21
446727,science,446727,Dernières nouvelles de la science,,94667,false,2005-12-07T19:20:00Z,421,false,Territoires 21
466269,science,466269,Astrologie: science ou récréation?,,3685007,true,2006-10-31T22:00:00Z,571,false,Infrarouge
466271,science,466271,"Présentation du thème et des invités, Elizabeth Teissier, astrologue qui plaide pour l'astrologie en tant que science et Jacques Neirynck, physicien, sceptique pour qui les planètes n'ont pas d'influence sur notre destin",,1572917,false,2006-10-31T22:00:00Z,434,false,Infrarouge
467486,science,467486,Les imposteurs de la science,,3064988,true,2006-11-23T19:05:00Z,2135,false,Temps présent
479318,science,479318,La lecture des pensées: de la science-fiction à la science,,622250,false,2007-05-13T18:00:00Z,1763,false,Mise au point
4898382,science,4898382,"2. Les Ig Nobel, de la vraie science?","Marc Abraham, Organisateur Cérémonies des Ig Nobel",45520,false,2013-05-13T14:51:01Z,39,false,Découverte
4898697,science,4898697,H2O LA LA - Islande : Science et émotion,"Un volcanologue nous fait découvrir les merveilles des paysages islandais. « Là, c'était l'enfer pendant quelques heures, peut être quelques jours, peut être quelques semaines..."".",191680,true,2013-05-13T16:00:00Z,615,false,Le court du jour
5053979,science,5053979,NE: l'enquête sur la Faculté des Sciences Economiques est remise en cause,"Des universitaires entendus contestent la manière de mener l'enquête, ils la jugent orientée.",114560,false,2013-07-08T17:30:00Z,1208,false,19h30
5121134,science,5121134,"""Il ne faut pas parler de guerre froide"" (David Silvan, professeur de relations internationales et chef de l'unité de sciences politiques à l'IHEID, citoyen américain)","David Silvan, professeur de relations internationales et chef de l'unité de sciences politiques à l'IHEID, citoyen américain.",273400,false,2013-08-08T04:00:48Z,382,false,Le Journal du matin
5128580,geographie,5128580,"Rencontre avec Joëlle Salomon-Cavin, Institut géographie et durabilité, UNIL",La question de l'urbanisme n'est pas toujours facile à gérer en Suisse.,206320,false,2013-08-12T16:55:00Z,389,false,Couleurs d'été
5162153,science,5162153,"L'invitée culturelle : Emilie de Turckheim est un écrivain français ayant étudié le droit, les sciences politiques et la sociologie.","Après avoir écrit son premier roman à 24 ans, elle publie aujourd'hui son sixième roman ""Une Sainte"".",417640,false,2013-08-27T10:45:00Z,773,false,12h45
5180165,science,5180165,L'ouvrage d'un professeur de la faculté des sciences économiques de l'Université de Neuchâtel est bien le fruit d'un plagiat partiel.,"C'est la conclusion des enquêtes administratives du Conseil d'Etat, présentées mardi matin.",82400,false,2013-09-03T10:45:00Z,599,false,12h45
5181383,science,5181383,L'ouvrage d'un professeur de la faculté des sciences économiques de l'Université de Neuchâtel est le fruit d'un plagiat partiel,"C'est la conclusion des enquêtes administratives du Conseil d'Etat, présentées mardi matin.",128640,false,2013-09-03T16:55:00Z,667,false,Couleurs locales
5201360,science,5201360,"Syrie: entretien avec David Sylvan, professeur de relations internationales et sciences politiques (2/2)",,109320,false,2013-09-10T17:30:00Z,1408,false,19h30
5201370,science,5201370,"Syrie: entretien avec David Sylvan, professeur de relations internationales et sciences politiques (1/2)",,38280,false,2013-09-10T17:30:00Z,1764,false,19h30
5247131,science,5247131,"""J'ai été vice président lors du 2ème rapport d'évaluation du GIEC"" (Martin Beniston, climatologue, directeur de l'institut des sciences de l'environnement à l'université de Genève.)",,691920,false,2013-09-27T04:00:43Z,90,false,Le Journal du matin
5287247,science,5287247,"Débat: Climat, la science peine à convaincre",Un nouveau rapport rappelle que la température moyenne de la terre et le niveau des mers vont augmenter fortement d'ici la fin du siècle. La catastrophe est annoncée et pourtant tout se passe comme si elle ne nous concernait pas.,721120,false,2013-10-12T11:55:00Z,1227,false,Faut pas croire
5287249,science,5287249,Climat: la science peine à convaincre,Un nouveau rapport rappelle que la température moyenne de la terre et le niveau des mers vont augmenter fortement d'ici la fin du siècle. La catastrophe est annoncée et pourtant tout se passe comme si elle ne nous concernait pas. Un champion de lutte sénégalaise cherche à devenir le roi de la lutte suisse: un sport pétri de traditions.,1426720,true,2013-10-12T11:55:00Z,980,false,Faut pas croire
529502,science,529502,... et une science juridique qui irrite F. Longchamp,,43500,false,2009-01-21T19:10:00Z,66,false,Infrarouge
5309096,science,5309096,"""Penser à la création d'un gouvernement transfrontalier"" (Jacques Lévy, géographe au Programme doctoral Architecture et sciences de la ville à l’EPFL à Lausanne)",,693560,false,2013-10-21T04:00:56Z,211,false,Le Journal du matin
5314079,science,5314079,"Invité: Claude Reiss, ex-directeur de recherche au CNRS, fondateur de l’association Antidote, pour une science responsable (2/2)",,215520,false,2013-10-22T18:15:00Z,299,false,A Bon Entendeur
5314113,science,5314113,"Invité: Claude Reiss, ex-directeur de recherche au CNRS, fondateur de l’association Antidote, pour une science responsable (1/2)",,125280,false,2013-10-22T18:15:00Z,394,false,A Bon Entendeur
532644,science,532644,P.-Y. Maillard chevalier de la science,,38416,false,2009-02-17T21:20:00Z,166,false,Infrarouge
5389845,science,5389845,La science et l'industrie s'intéresse de plus en plus au thorium,Ce combustible est moins dangereux que l'uranium et pourrait permettre une sorite du nucléaire plus facile.,209440,false,2013-11-19T18:30:00Z,1950,false,19h30
542842,geographie,542842,"Boom de la population lausannoise: commentaire d'Ola Söderström, professeur Institut de géographie, UniNe, en direct de Lausanne",,131583,false,2009-05-05T16:50:00Z,401,false,Couleurs locales
5428801,science,5428801,"L'invitée: Isabelle Collet, spécialiste en sciences de l'éducation, se penche sur le problème de l'échec scolaire","L'échec scolaire touche, selon les études réalisées en Europe et en Suisse, plus massivement les garçons.",434440,false,2013-12-04T11:45:00Z,852,false,12h45
5493180,science,5493180,"""le but de la science n'est pas d'être utile mais de créer une société de la connaissance"" (David Sander, lauréat du prix Latsis 20133)",,774000,false,2013-12-30T05:00:23Z,70,false,Le Journal du matin
5590079,science,5590079,"Un bus qui s'envole au-dessus d’un pont qui s’est écroulé, science ou fiction ?",Un cascadeur professionnel t'explique comment on tourne ce type de scène dans les films.,86040,false,2014-02-05T09:25:00Z,469,false,L'Oreille des kids
5671720,science,5671720,"Changer l'eau en glace instantanément, science ou fiction?","Chris et Céline du Physiscope de Genève te prouvent en images que ce phénomène est bien réel.  L'émission a illustré la question avec un extrait du film ""Les cinq légendes"" de Peter Ramsey - 2012",103400,false,2014-03-05T09:45:00Z,540,false,L'Oreille des kids
5687180,science,5687180,La pyrokinésie - science ou fiction?,"Peut-on contrôler le feu à distance ou allumer un feu par la force de la pensée? Une spécialiste en effets numériques répond à ces questions dans cet extrait.  L'émission a illustré la question avec un extrait des films ""Bruce Tout-Puissant"" de Tom Shadyac - 2003 et ""Armageddon"" de Michael Bay - 1998",117080,false,2014-03-12T08:10:00Z,186,false,L'Oreille des kids
5707833,science,5707833,La lévitation - science ou fiction?,"Un homme ou un objet peut-il rester en suspension dans l’air? Céline du PhysiScope de Genève et Chris te le prouvent au moyen d’une expérience.  L'émission a illustré la question avec un extrait du film ""Retour vers le futur 2"" de Robert Zemeckis -  1985.",128800,false,2014-03-19T09:50:00Z,832,false,L'Oreille des kids
5726440,science,5726440,Marcher sur l'eau - science ou fiction?,"Comme Flèche dans le film ""Les Indestructibles"" de Brad Bird, est-il possible de marcher sur l’eau? Oui, c'est possible chez certains animaux. Deux exemples dans cet extrait.",123480,false,2014-03-26T09:50:00Z,543,false,L'Oreille des kids
5744697,science,5744697,"La montée du niveau de la mer avec la fonte des icebergs, science ou fiction?","Le niveau de la mer va-t-il monter si les icebergs du Pôle Nord fondent? Pour vérifier, Chris et les physiciens du PhysiScope de Genève te proposent une simulation.  L'émission a illustré la question avec un extrait du film ""A.I. Intelligence Artificielle"" de Steven Spielberg -  2001.",128080,false,2014-04-02T09:00:00Z,77,false,L'Oreille des kids
5747341,science,5747341,La science renonctre l'art à l'EPFL,"Patrick Aebischer, président de l'École Polytechnique de Lausanne revient sur son enfance vécue entouré d'artistes. Devenu scientifique, il tente de créer des ponts entre ces deux domaines.",96560,false,2014-04-03T20:50:00Z,234,false,La Puce à l'Oreille
582600,science,582600,Coup d'envoi ce matin du Festival Science et Cité,"Pendant dix jours, le monde scientifique veut aller à la rencontre du public à travers le Festival Science et Cité pour mieux expliquer les enjeux de la recherche. Cette année, le festival a fait du cerveau son point fort, à travers quelques 500 manifestations sur le thème de la conscience.",95667,false,2005-05-19T10:45:00Z,3,false,12h45
582602,science,582602,"Interview de Didier Raboud, Coordinateur scientifique (Uni Genève), au sujet du Festival Science et Cité",,148334,false,2005-05-19T10:45:00Z,57,false,12h45
582742,science,582742,Prangins (VD): le festival Science et Cité dévoile la recette du sorbet à base de sel,,127417,false,2005-05-22T10:45:00Z,12,false,12h45
582744,science,582744,Science et Cité: le théatre poursuit sa psychanalyse,"Vaud: des comédiens portent leur regard sur la maladie mentale et sur le cerveau, des point de vue qui parfois convergent parfois divergent ou se contredisent.",126500,false,2005-05-22T10:45:00Z,5,false,12h45
